case_name,run_id,target_prompt_tokens,prompt_tokens,prompt_chars,max_tokens,latency_seconds,ttft_seconds,tpot_seconds,completion_tokens,total_tokens,one_over_tpot_tokens_per_second,response_chars,response_preview,error
long_prompt_long_output,10,2048,2088,5163,512,14.6894,0.5954,0.0276,512,2600,36.2319,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,8,2048,2088,5163,512,15.2961,0.7589,0.0284,512,2600,35.2113,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,7,2048,2088,5163,64,2.5799,0.8051,0.0282,64,2152,35.4610,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,1,2048,2088,5163,64,2.6507,0.8230,0.0290,64,2152,34.4828,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,4,2048,2088,5163,64,2.5469,0.7915,0.0279,64,2152,35.8423,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,6,2048,2088,5163,512,14.9771,0.7723,0.0278,512,2600,35.9712,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,7,2048,2088,5163,512,13.9961,0.6033,0.0262,512,2600,38.1679,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
short_prompt_long_output,6,64,72,105,512,13.6729,0.0741,0.0266,512,584,37.5940,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,8,64,72,105,512,13.6687,0.0713,0.0266,512,584,37.5940,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,10,64,72,105,512,14.0512,0.0721,0.0274,512,584,36.4964,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
